Embedding,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
Unintegrated,0.43523583,0.6425179567111559,0.4675725750117484,0.46815481036901474,0.9974348624547322,0.8306549,0.2855854630470276,0.3182960392830594,0.7407724174525265,0.4865132529561366,0.5323644183772483,0.6021832065415782,0.5742556912758463
Unintegrated_HVG_only,0.5824954,0.7775052679321227,0.6056660948426854,0.5841047763824463,0.999999984105428,0.9085186,0.2483869194984436,0.20827039679493947,0.8636088506131956,1.3167717537884833e-05,0.44575958940178245,0.7099543029263098,0.6042764175164989
train_128_encoder_0.1,0.5735217,0.8234214712322663,0.8240790767528375,0.5808001682162285,0.9995538393656412,0.93593436,0.5321635007858276,0.5359824662403938,0.858218357016879,0.6818283772111299,0.7088254132099829,0.7602752458492651,0.7396953127935522
train_150_encoder_0.1,0.55592304,0.782373679185793,0.7535701420465769,0.562881626188755,0.9988835573196411,0.9426212,0.5323854684829712,0.5489723404259257,0.8384892876188507,0.6286068599589589,0.6982150255922326,0.730726409884463,0.7177218561675709
train_16_encoder_0.1,0.57761186,0.8140049622248887,0.8137798743345362,0.5779812708497047,0.9995768785476684,0.9317971,0.524622917175293,0.5458366990840839,0.8609380569708469,0.6630346245132659,0.705245876987205,0.7565909699139853,0.7360529327432732
train_32_encoder_0.1,0.57040864,0.7757861768577164,0.6365848139683852,0.5766988173127174,0.9994952321052551,0.9349482,0.5335208773612976,0.5558545573406795,0.8616652196755844,0.653470738678911,0.7078919198008696,0.7117947365072194,0.7102336098246795
train_4_encoder_0.1,0.60009015,0.8329031135345523,0.8297597246644385,0.5934239774942398,0.9998551567395528,0.9104155,0.5205928087234497,0.5156335472276535,0.8883539053467057,0.6672348707240154,0.7004461205243905,0.7712064236995083,0.7429023024294612
train_64_encoder_0.1,0.5649413,0.7735816317735439,0.7462682431498949,0.5757990553975105,0.999013074239095,0.9349703,0.5295207500457764,0.5611921442638261,0.8518726966421958,0.5443667705360942,0.684384536151796,0.731920658320151,0.7129062094528089
train_8_encoder_0.1,0.56676,0.7955505561184242,0.7762606798652892,0.5803271308541298,0.9993192275365194,0.93821234,0.5292195081710815,0.5641620862259372,0.8613056071494669,0.6812644025905631,0.7148327878493519,0.7436435195882208,0.7321192268926733
train_umap_128_encoder_0.1,0.63435197,0.713677011500913,0.3249005371677366,0.673929288983345,0.9990201910336812,0.72061276,0.647769570350647,0.48626252137672965,0.7937474936147138,0.5912853935942634,0.6479355486589748,0.6691757994901869,0.6606796991577021
train_umap_150_encoder_0.1,0.5863452,0.6839315664500107,0.32120230365288766,0.634485274553299,0.9976583162943522,0.71551,0.6410365700721741,0.4608622140821981,0.7503252291635891,0.5430691431095028,0.6221606334293528,0.6447245313441627,0.6356989721782387
train_umap_16_encoder_0.1,0.62173104,0.6888906151737895,0.2875675086233155,0.6486388146877289,0.9988804618517558,0.73654884,0.6297602653503418,0.4545978030060293,0.7799844820413309,0.5254885462910152,0.6252759875376641,0.6491416886397057,0.639595408198889
train_umap_32_encoder_0.1,0.6123585,0.6903406172892063,0.2970006970212871,0.6489804536104202,0.9988740444183349,0.7352113,0.6377171277999878,0.48018593499744255,0.7692138173194937,0.5431057058980061,0.6330867797571547,0.6495108645666962,0.6429412306428796
train_umap_4_encoder_0.1,0.64569366,0.7190175909368202,0.31184007916339423,0.6548838168382645,0.9995138009389242,0.73786366,0.6232163906097412,0.4791626698005155,0.8209799878322233,0.5638840126075143,0.6450213441417396,0.6661897895319626,0.6577224113758734
train_umap_64_encoder_0.1,0.60490674,0.6716068805026997,0.2906270318419107,0.6274904012680054,0.9978193124135335,0.7362614,0.6393873691558838,0.46272938817209525,0.7595621315193134,0.5566748470579196,0.6309230326615417,0.6384900727661125,0.6354632567242842
train_umap_8_encoder_0.1,0.5921253,0.6925498439191627,0.3026112693755114,0.6481165736913681,0.998521105448405,0.716883,0.6447287797927856,0.4606493914657224,0.7656683690928517,0.6034582453274898,0.63827755787811,0.6467848178054318,0.6433819138345032
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
