Embedding,KMeans NMI,KMeans ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
Concerto_128_decoder_0.0,0.5259947499484944,0.2569002104476627,0.5162614863365889,0.9925836046536763,0.9533326,0.3499513694218227,0.2564326743522873,0.6266252739200706,0.44233072557862574,0.5257345292501119,0.5729350128466055,0.554054819408008
Concerto_128_encoder_0.0,0.49764528894522086,0.232391723445196,0.5164359677582979,0.9918212572733561,0.9545245,0.3513256481715611,0.28622114732154796,0.6249073206132361,0.4679585323635071,0.5369874331058356,0.5595735593555178,0.5505391088556449
Concerto_16_decoder_0.0,0.5176565589646177,0.23113382399048032,0.5106183616444468,0.9929428497950236,0.9533577,0.33622649737766813,0.25571546263524364,0.6320458557477655,0.30406849989313967,0.49628280243740397,0.5630878985986421,0.5363658601341468
Concerto_16_encoder_0.0,0.4964508301201169,0.23549395177342922,0.513391369022429,0.9918378909428914,0.95386136,0.33829961504255024,0.2710832081764473,0.6297813245424666,0.36179241989900485,0.5109635846884049,0.5592935104647166,0.539961540154192
Concerto_256_decoder_0.0,0.5364045801942265,0.26480900851814926,0.5154140898957849,0.9927832444508871,0.9540038,0.35087789808000835,0.26301454663360546,0.628787158182168,0.47434034903554434,0.5342047525627789,0.5773527307647619,0.5600935394839687
Concerto_256_encoder_0.0,0.5021070967195497,0.24443567942642916,0.5146138956770301,0.9915528297424316,0.95353967,0.35170275824410574,0.26273318326904416,0.6146173502664695,0.46548844498696773,0.529616281256058,0.5631773753913601,0.5497529377372392
Concerto_32_decoder_0.0,0.5015256565231596,0.22672859450840258,0.510681458748877,0.9920765479405721,0.9548,0.34777586800711496,0.26310879103007595,0.6221326465246928,0.40964581104645903,0.5194926252671641,0.5577530644302529,0.5424488887650174
Concerto_32_encoder_0.0,0.4862563556852983,0.23083391915446103,0.5152557855471969,0.9916751027107239,0.9542785,0.3513695853097098,0.29111589433946006,0.6333530149551687,0.4617256297709144,0.5383685306131183,0.55600529077442,0.5489505867098994
Concerto_403_decoder_0.0,0.5045861215446308,0.24675128864120519,0.5136946924030781,0.9913686434427897,0.9545338,0.35620454379490446,0.24949907907021784,0.6119155530496312,0.46123051354986855,0.5266767009697066,0.5641001865079259,0.5491307922926383
Concerto_403_encoder_0.0,0.49992271945662387,0.24251769323660796,0.5158031266182661,0.9918268879254659,0.95383835,0.35496909277779715,0.2374928212446181,0.6198800214787398,0.4972663108804804,0.5326893189540615,0.562517606809241,0.5505862916671692
Concerto_4_decoder_0.0,0.5172473306659596,0.22608448516071486,0.5031305374577641,0.9937490304311116,0.9536864,0.3095621381487165,0.24628100268413913,0.6619460089147691,0.10697407951846544,0.4556899290830459,0.5600528459288876,0.5183076791905509
Concerto_4_encoder_0.0,0.5080949741509381,0.2306879903439371,0.5075546279549599,0.9935862580935161,0.9518432,0.3130607604980469,0.24578289499228778,0.6672239077107728,0.1789376470544766,0.47136968247393785,0.5599809626358377,0.5245364505710778
Concerto_64_decoder_0.0,0.516214387407174,0.2465305247906441,0.5127062266692519,0.9922679185867309,0.95340896,0.34939541135515484,0.2839264108528857,0.6233754486954659,0.42151503618957314,0.5263242527241578,0.5669297643634502,0.5506875597077333
Concerto_64_encoder_0.0,0.48163286343781775,0.22304273871694494,0.5151790278032422,0.9916801015535991,0.9537331,0.35371688434055876,0.29702498608771744,0.6277666592096529,0.47285961899387174,0.5410202470435599,0.552883682877901,0.5481383085441646
Concerto_8_decoder_0.0,0.5136311194637031,0.2316678440342245,0.505948634352535,0.9932511250178019,0.9531906,0.3232851709638323,0.24705977812618488,0.6413429631921583,0.17010246727731002,0.4669962008546767,0.5611246807170661,0.5234732887721103
Concerto_8_encoder_0.0,0.5091922069329538,0.24262994120599737,0.5088492520153522,0.9928148825963338,0.95298976,0.32319525309971403,0.25027378458512417,0.6432804034718849,0.22951495529077187,0.47985083070169987,0.5633715706876593,0.5299632746932755
Unintegrated,0.5333656802915322,0.25630490658208566,0.4703630767762661,0.9981838981310527,0.83670783,0.17325479643685476,0.2361023682734066,0.7757149660137874,0.4969897283803302,0.5037539379066912,0.5645543904452341,0.5402342094298169
Unintegrated_HVG_only,0.7108179538175137,0.3636593816316745,0.5739626958966255,0.999999984105428,0.9375225,0.15623303822108678,0.16290944924065678,0.8514700284489981,1.6043632457299144e-05,0.4216302060988559,0.6621100038628104,0.5659180847572286
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
